,base_market,quote_market,hedge_ratio,half_life
0,UMA-USD,ETC-USD,0.12943804221054564,1.0
1,UMA-USD,YFI-USD,0.00044000578170628584,3.0
2,UMA-USD,COMP-USD,0.05248375357261079,3.0
3,UMA-USD,ICP-USD,0.32447974037373495,2.0
4,UMA-USD,DOT-USD,0.4068517052728404,2.0
5,UMA-USD,CELO-USD,3.3651661109928823,2.0
6,UMA-USD,1INCH-USD,7.096286717698199,3.0
7,UMA-USD,ENJ-USD,7.781704520517046,3.0
8,UMA-USD,XLM-USD,30.410864140722108,7.0
9,SOL-USD,AAVE-USD,1.577269420568141,3.0
10,ZEC-USD,CRV-USD,41.781906898093496,2.0
11,ZEC-USD,SUSHI-USD,16.4840971731646,3.0
12,ZEC-USD,SNX-USD,7.123505887221442,3.0
13,ZEC-USD,XLM-USD,216.6660822006599,7.0
14,ZEC-USD,LTC-USD,0.33240108679016034,8.0
15,AAVE-USD,MKR-USD,0.039538087453933356,5.0
16,AAVE-USD,COMP-USD,1.6106335305512838,3.0
17,AAVE-USD,MATIC-USD,117.18853870575406,3.0
18,AAVE-USD,NEAR-USD,16.814865322522934,6.0
19,AAVE-USD,CELO-USD,103.26632098555245,4.0
20,ETC-USD,XTZ-USD,23.85189175684217,1.0
21,ETC-USD,LINK-USD,1.6649895071059453,1.0
22,ETC-USD,BCH-USD,0.0774573666895686,1.0
23,ETC-USD,XMR-USD,0.21585230910910236,1.0
24,ETC-USD,YFI-USD,0.0033960254772988532,1.0
25,ETC-USD,RUNE-USD,3.632423875192491,1.0
26,ETC-USD,DOGE-USD,211.56799084473948,1.0
27,ETC-USD,MKR-USD,0.009936495437400713,2.0
28,ETC-USD,COMP-USD,0.4049898570443977,1.0
29,ETC-USD,ICP-USD,2.5041016835963577,1.0
30,ETC-USD,ALGO-USD,119.41008966588396,2.0
31,ETC-USD,FIL-USD,3.441580674217823,1.0
32,ETC-USD,MATIC-USD,29.467348330699352,1.0
33,ETC-USD,TRX-USD,245.28481411194747,1.0
34,ETC-USD,NEAR-USD,4.224929935231398,3.0
35,ETC-USD,DOT-USD,3.1400620292260886,1.0
36,ETC-USD,BTC-USD,0.0004559763999599191,1.0
37,ETC-USD,CELO-USD,25.96293096876403,1.0
38,ETC-USD,1INCH-USD,54.76310572549747,1.0
39,ETC-USD,ADA-USD,46.541663522871076,1.0
40,ETC-USD,ENJ-USD,60.042114008950776,1.0
41,ETC-USD,SNX-USD,7.715375781811545,1.0
42,ETC-USD,ETH-USD,0.008682900153938633,1.0
43,ETC-USD,XLM-USD,234.79823336645313,1.0
44,ETC-USD,EOS-USD,30.32519243237401,3.0
45,ETC-USD,ATOM-USD,2.5596778879363904,1.0
46,ETC-USD,LTC-USD,0.36017151884989085,1.0
47,XTZ-USD,COMP-USD,0.016978507705956988,1.0
48,XTZ-USD,ALGO-USD,5.006900812490483,3.0
49,XTZ-USD,NEAR-USD,0.1772064993040834,5.0
50,XTZ-USD,1INCH-USD,2.2955037316063054,2.0
